geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,median_income,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6037910605,Palmdale,93550,Los Angeles,34.569356,-118.064732,289.7986393,5.98,1407,84,5.970149253731344,35.45238095238095,0,0.4642857142857143,46.6,12.8,81.3,10.6,50455,21.8,25,82.6,15.6,20.5,26.4,28.5,3.8,2.3,3,63.9,5.2,41.6,41.5,4.8,5,7.1,22.9,0,8.3,0,0,91.1,0.6,45.1,16.9,15.2,0,1,0.6
6037910606,Palmdale,93550,Los Angeles,34.5618494,-118.0672703,289.7986393,7.56,729,68,9.327846364883403,27.294117647058822,0,0.14705882352941177,50.8,14.7,79.6,10.5,47004,15.9,19.9,82.7,23.3,9.6,22.3,28.6,5,8.8,2.4,67.1,11.2,40.3,40.8,4,5.8,9.2,32.1,0,10,0,0,90,0,62.7,26,23.7,0,2.3,0
6037910705,Palmdale,93552,Los Angeles,34.5697025,-118.0173147,289.7986393,6.74,3353,224,6.680584551148225,31.508928571428573,0,0.3169642857142857,42.6,11.8,79.8,9.2,68211,12.9,12.2,92.3,17.9,11.4,25.8,29.3,6.4,7.1,2,70.7,9.1,37.9,42.9,3.1,4.9,11.3,28.3,0.8,5.5,1.8,0,89.7,2.2,52,21.8,20.4,0.1,1.2,0
6037910706,Palmdale,93543,Los Angeles,34.5534723,-117.9994644,419.9927063,8.03,1760,191,10.852272727272727,33.18586387434555,0,0.3717277486910995,44.6,12.1,83.9,8.7,51654,8.2,13.2,88.3,20.2,15,25.1,25.8,6.9,5,2.1,64.8,7.1,37.2,46.1,3.9,4.9,8,32.9,0.1,10.9,0,0,89,0,53.5,27.8,25.6,0,2.2,0
6037910707,Palmdale,93550,Los Angeles,34.5504349,-118.1037345,289.7986393,7.54,1234,65,5.26742301458671,31.692307692307693,0,0.3230769230769231,54.4,14.7,85.9,12,49063,17.3,20.6,85.6,9.9,14.6,30,26.6,5.7,11.3,1.9,75.5,13.2,42.7,32.5,6.6,6.3,11.9,23.5,1.6,10.8,0.7,1.3,84.9,0.6,47.2,17.7,15.7,0.4,0.9,0.7
6037910709,Unincorporated Los Angeles County area,93552,Los Angeles,34.528512,-118.0410787,420.1237593,4.88,363,20,5.509641873278237,34.5,0,0.5,39.4,17.7,80.7,16,61333,9.6,10.3,90.5,11.3,12.3,30.3,27.4,6,5.7,7,76.4,12.7,30.9,52.2,3.2,7.4,6.3,16.6,4.9,1.8,0,0,93.3,0,60.4,11.8,11.5,0.3,0,0
6037910711,Palmdale,93552,Los Angeles,34.5687395,-118.0529469,289.7986393,5.43,2158,245,11.353104726598703,28.755102040816325,0.10612244897959183,0.2530612244897959,42.5,14,82.2,10.9,39091,20.8,24.5,90.3,20.7,15,24.9,26.2,6.1,5.4,1.6,64.3,7.1,39.7,42.8,2.7,4.6,10.3,28.6,0.1,9.2,0,0,90.7,0,44,25,23.2,1.7,0.1,0
6037910712,Palmdale,93552,Los Angeles,34.5516033,-118.0525805,339.1897539,10.17,646,163,25.23219814241486,37.80061349693251,0,0.4539877300613497,54.5,25.5,86.3,13,54167,16.5,23.9,92.8,9.1,12.2,33.8,22.6,9.3,8.7,4.4,78.7,13.1,40.6,38.7,2.9,3.9,13.9,21.3,6.2,10.6,0.9,0,82.3,0,41.7,16.1,15.6,0.4,0.1,0
6037910713,Palmdale,93552,Los Angeles,34.5728969,-118.0382946,289.7986393,5.91,1445,272,18.823529411764707,29.13235294117647,0,0.24632352941176472,42.8,18.9,78.9,9.2,52134,15.5,19.8,80.7,15.8,16.3,35.8,19.4,3.9,6.1,2.7,67.9,8.8,25.9,56.3,1.9,8.1,7.7,30.1,0.9,4.9,0,0,93.4,0.8,56.1,25.7,24.9,0.5,0.1,0.4
6037910714,Palmdale,93552,Los Angeles,34.5616733,-118.0375369,289.7986393,6.13,1008,60,5.9523809523809526,29.691666666666666,0,0.21666666666666667,50.5,11,76.6,9.8,45408,12.9,15.9,90.8,29.4,13,28.7,15.5,7,4.5,1.8,57.5,6.4,33.7,32.9,8.9,12.3,12.1,31.2,0,6.6,0,0,93.4,0,57.8,27.2,26.8,0.1,0.3,0
6037910715,Palmdale,93550,Los Angeles,34.5546511,-118.0700947,289.7986393,6.75,1768,210,11.877828054298643,34.23809523809524,0,0.4095238095238095,55.8,15.9,84.6,9.3,50563,12,15.1,81.6,9.2,12.5,32.1,27.2,8.5,8.3,2.1,78.2,10.5,46.9,37,4.2,6.7,5.3,29.6,2.3,4.4,0.6,0,91.8,0.9,49.7,21.3,20.4,0.6,0.3,0
6037910716,Palmdale,93550,Los Angeles,34.5463872,-118.0731854,289.7986393,5.5,1312,108,8.231707317073171,30.15277777777778,0,0.24074074074074073,53.8,7.3,85.9,11.1,56263,13.3,17.1,88.8,8.5,12.5,24,26.4,12.4,11.1,5.2,78.9,16.2,33.7,46.6,5.2,7.8,6.8,26.9,4.6,15.7,5.6,0,73.5,0.6,41.3,14.6,12.2,1.3,1,0.2
6037910804,Acton,93510,Los Angeles,34.5244096,-118.1943718,428.2163155,4.58,598,7,1.1705685618729098,27,0,0,58,14.1,89.8,7.9,87159,3.1,9.9,87.8,4.2,7.1,22.6,33.8,11.8,13.3,7.2,88.7,20.4,18.2,65.6,0,11.6,4.6,12.7,33.4,14.4,0,0,52.2,0,18.8,2.7,1.8,0,0.9,0
