OBJECTID,Tract,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Pesticides,Pesticides_Pctl,Tox_Releases,Tox_Releases_Pctl,Traffic,Traffic_Pctl,Drinking_Water,DrinkingWaterPctl,Lead,Lead_Pctl,Cleanups,Cleanups_Pctl,GroundwaterThreats,GW_Threats_Pctl,Haz_Waste,Haz_Waste_Pctl,Imp_Water_Bodies,ImpWaterBodPctl,Solid_Waste,Solid_Waste_Pctl,Pollution,PollutionScore,Pollution_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,LowBirthW_Pctl,Cardiovascular,Cardiovasc_Pctl,Education,Education_Pctl,Ling_Isol,Ling_Isol_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemploy_Pctl,HousBurd,HousBurd_Pctl,PopChar,PopCharScore,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,ApproxLoc,DAC_category,Shape__Area,Shape__Length
945,6065041412,92503,5542,36.95165706,70.51185073,0.06133785,84.57996266,12.52479586,91.18855009,0.41022932,85.42626011,0,0,1129.120361,66.74168542,2045.254366,87.8125,693.8289152,77.36980142,28.35224408,21.94076875,1,17.07726764,15,59.60484808,0.32,52.64063534,0,0,0,0,51.54314411,6.293407658,74.44928438,44.2,47.8439681,5.33,60.57223505,14.95,65.97706879,16.7,59.11161731,10.6,64.13587766,30,54.03266332,7,67.47787611,13.5,30.60836502,56.60218526,5.871486335,60.38830055,7.3259,76.4886,16.1855,58.9498,24.991,5.9004,0.3428,9.6716,0,0.1444,Riverside ,Home Gardens,CalEnviroScreen 3.0 Disadvantaged Communities Only,3110100.31640625,7244.11259523232
946,6065041407,92505,5873,37.34445009,71.11699445,0.06350576,91.05164904,12.74759454,92.66957063,0.131584253,46.33478531,0,0,1205.329997,68.61715429,1105.998452,64.2875,693.8289152,77.36980142,57.25983304,61.8147448,8,53.43411721,0,0,0.67,77.23362012,0,0,0,0,50.55661628,6.172952806,71.74859988,54,61.41575274,3.73,20.66974596,18.28,81.81704885,26.7,75.85421412,8.9,57.40966301,34.4,60.79145729,5.3,48.25611661,21.2,67.71863118,58.32009948,6.049689875,62.90973273,13.0598,75.5662,11.3741,66.1161,19.8536,6.317,0,5.057,1.1238,1.5324,Riverside ,Riverside,CalEnviroScreen 3.0 Disadvantaged Communities Only,2350327.48828125,6239.75900993597
947,6065042010,92570,6179,42.88573573,79.29904186,0.06718273,97.00062228,11.40893541,59.43995022,0.100511359,37.4735532,12.85267387,62.10344828,319.2610016,42.89822456,2115.90664,88.75,236.7036939,9.229424254,47.28548919,47.66225583,25.9,86.67413214,10,47.43483314,0.075,10.15221707,0,0,2,52.89805269,50.19040555,6.128238549,70.80273802,53.41,60.63060818,4.22,31.66538363,19.5,85.80508475,37.5,87.74993672,10.8,64.81255921,51.3,83.34170854,6.3,60.56741281,25.4,81.31812421,67.46248691,6.998052604,76.58850227,15.9735,72.18,11.8466,79.1067,8.7878,11.4096,0,0,0,0.6959,Riverside ,Mead Valley,CalEnviroScreen 4.0 Top 25%,15886265.859375,16241.0313525225
948,6065042007,92570,5058,30.07697889,58.79979829,0.06144634,84.62974487,11.30021963,57.85936528,0.011641106,4.380833852,18.85093428,65.51724138,446.2343343,49.37484371,1754.004251,82.95,724.9326593,78.98089172,8.933247786,3.175803403,15,74.93467712,5.5,32.37589241,0.525,70.93315685,0,0,11,92.80641466,53.64240309,6.549726762,79.47728687,41.72,44.24227318,5.06,54.11855273,15.8,70.47607178,10.1,42.29309036,3.3,26.40411422,22.1,38.5678392,4.5,37.71473191,10.6,16.31178707,44.26863923,4.592096737,41.51538074,12.7916,71.1941,16.0142,22.9933,61.7438,7.6315,0.5338,3.1238,0,3.9739,Riverside ,Unincorporated Riverside County area,CalEnviroScreen 3.0 Disadvantaged Communities Only,194416958.789062,67445.0953318331
949,6065040402,92509,4373,47.6208325,85.03530005,0.06464682,93.62787803,13.61160855,96.29122589,0.118162955,42.89981332,55.38432889,72.96551724,1191.411662,68.3295824,897.7405169,51.375,776.6737914,87.19870114,66.59960422,74.82041588,12,68.94363568,10,47.43483314,0,0,3,33.15833683,1,35.71592211,61.30919301,7.485840289,92.49533292,54.14,61.72731805,3.87,23.65922504,16.34,73.03090728,35.2,85.48468742,9.8,61.09081066,54.5,86.62060302,9.9,85.82769391,13.4,30.20278834,61.32556673,6.361454515,67.72566818,15.9158,74.4569,9.6273,76.2863,22.9819,0.1372,0.4574,0.1372,0,0,Riverside ,Jurupa Valley,CalEnviroScreen 4.0 Top 25%,7131447.9140625,14234.0630339177
950,6065040301,92509,8542,48.06691332,85.60262229,0.06591477,95.27069073,13.1636083,94.41194773,0.495235798,89.68263846,0.002330935,6.965517241,1117.906983,66.46661665,1378.639147,74.7875,755.7274397,86.03721743,77.87884829,87.30938878,0,0,7,37.60584426,0.01,1.800132363,0,0,0,0,52.70469153,6.435232367,77.38643435,57.33,65.93968096,4.64,42.19912753,17.17,76.95663011,37.1,87.370286,9.6,60.17052375,60.8,92.19849246,12.7,93.71421135,24.3,78.11153359,72.00574448,7.469336082,82.79122542,22.9103,67.8881,9.2016,82.4514,11.7888,4.6242,0,0.9014,0.2341,0,Riverside ,Jurupa Valley,CalEnviroScreen 4.0 Top 25%,4896971.5859375,16221.1019642893
951,6065040501,92509,7327,46.32032768,83.66111952,0.06464682,93.62787803,13.70859606,96.95084007,0.297442189,76.14187928,0,0,1471.414632,72.7931983,725.9983073,38.3,692.3740729,76.63294617,53.87619107,57.0510397,19,80.94438223,0,0,1.2,87.82263402,0,0,0,0,53.87594955,6.578242738,80,57.33,65.93968096,5.29,59.55863485,17.17,76.95663011,36.5,86.86408504,9.7,60.61713358,37.2,64.89949749,8,75.3774076,17.9,53.62484157,67.88078751,7.041443973,77.19364599,14.235,74.9693,10.7957,78.859,17.7835,0.4367,0,1.6241,0,1.2966,Riverside ,Jurupa Valley,CalEnviroScreen 4.0 Top 25%,7481293.96875,12574.0354752116
952,6065041002,92503,3551,40.47301242,75.81946546,0.06464682,93.62787803,13.0483386,93.9141257,0.097561096,36.47790915,0,0,1091.801656,65.74143536,661.5178315,33.15,693.8289152,77.36980142,57.63661831,62.47006931,3,31.24300112,12.25,52.41573966,0.2,35.6187955,3,33.15833683,0,0,48.72499312,5.949311982,67.11885501,48.83,54.93519442,5.83,71.64485502,15.77,70.32652044,30.1,80.30878259,4.7,35.99945865,37,64.53517588,10.2,87.06402915,19.2,59.7338403,65.5818903,6.802973611,73.903177,15.2915,77.4711,7.2374,82.5683,10.307,4.4776,0,1.7178,0,0.9293,Riverside ,Riverside,CalEnviroScreen 4.0 Top 25%,1493049.70703125,5222.03801597399
953,6065046200,92225,2871,54.08019681,91.72970247,0.03975537,20.84629745,9.781024834,46.84505289,0.159578452,53.61543248,306.880019,83.06896552,11.69238623,9.227306827,385.2559584,13.1875,588.1397658,68.09042088,73.87375819,83.44045369,16,76.72639044,44,87.87979412,0.6,74.73196559,0,0,14.2,95.3722795,53.84081445,6.573952751,79.90043559,75.75,82.51495513,4.38,35.38619451,25.74,98.18045862,30.1,80.30878259,23.6,90.91893355,70.8,97.65075377,17.7,98.47735554,20.7,65.5513308,79.304317,8.226435276,91.85577408,14.0369,71.5778,14.3852,67.6419,15.1515,13.9673,0,0,0,3.2393,Riverside ,Unincorporated Riverside County area,CalEnviroScreen 4.0 Top 25%,16991790.3203125,17479.4078458054
954,6065043405,92543,4831,40.33295045,75.52950076,0.06464682,93.62787803,9.598257119,45.55071562,0.203347562,62.61356565,0,0,86.76306533,22.15553888,812.2722,45.0875,562.6768015,65.86736605,36.24116576,32.22432262,9,58.17469205,0,0,0.2,35.6187955,0,0,0,0,36.84680641,4.498987744,33.73988799,96.83,91.73728814,6.65,85.77110598,21.92,93.38235294,31.5,81.8400405,8.8,56.85478414,62.8,93.55527638,15.5,97.20197814,26.3,83.29531052,86.42319681,8.964894495,97.50378215,15.0693,61.478,23.4527,52.0389,35.4171,10.8052,0,0,0,1.7388,Riverside ,Hemet,CalEnviroScreen 4.0 Top 25%,2505393.47265625,8164.61886927254
