census_tract,total_pop,county,zip,approximate_location,longitude,latitude,ces_4_0_score,ces_4_0_percentile,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,children_10_years_percent,pop_10_64_years_percent,elderly_64_years_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_multiple_percent,disadv_designation,avg_maternal_age
6037228410,3600,Los Angeles,90011,Los Angeles,-118.2691132,34.01374,59.8478020661895,95.6253151790217,95-100% (highest scores),0.04588368,12.0527736,0.51427,787.9403354,96.521563509999993,0,2758.816732,700.7129571,23.5,0,0.17,0,4,56.4021777880995,6.88669470479931,69.72,5.03,22.77,53.4,21.2,66.3,8.9,38.2,83.7765590896997,8.69035214011764,14.31,79.47,6.22,92.64,2.22,3.44,0,1.69,0,1,22
6099002302,3759,Stanislaus,95351,Bystrom,-120.982756,37.6209695,59.8368353606028,95.6127080181543,95-100% (highest scores),0.05395594,11.32939298,0.532698935,891.9219689,74.2111312,0.039723063,243.1689962,802.9393748,0.6,1.05,0.635,8,0.95,54.6270164179728,6.66994785410598,103.56,6,18.77,49.5,14.2,80.7,10.3,27.7,86.4831146315685,8.97110992011244,16.28,74.94,8.78,85.02,11.09,0.08,0,1.86,1.94,1,22.804195804195803
6113010203,5355,Yolo,95691,West Sacramento,-121.563721,38.5637651,59.8339791568567,95.6001008572869,95-100% (highest scores),0.04539285,8.964823547,0.653196723,247.7222002,79.44033414,40.446117,171.2266642,2006.453572,14,47.75,1.11,20,10.25,67.9113151220389,8.2919580872209,67.06,3.56,17.1,30.6,10.7,65.9,13.3,23.7,69.562620127553,7.21590467866323,14.14,75.65,10.21,51.45,25.02,8.07,0.41,8.1,6.95,1,27
6019001303,2420,Fresno,93702,Fresno,-119.7591482,36.7250069,59.8250464588328,95.5874936964196,95-100% (highest scores),0.060311,13.91021164,0.05224,733.946935,84.76837352,0,4319.533244,194.2056816,2.85,20,2.075,0,1,54.3667376504559,6.63816786829117,99.91,8.07,17.27,61.1,21.3,80.2,8.3,19.3,86.8800291226086,9.01228285361715,15.58,76.69,7.73,67.93,1.16,10.08,0.7,16.53,3.6,1,28.08695652173913
6037120107,3893,Los Angeles,91402,Los Angeles,-118.4563804,34.226419,59.79996976573,95.5748865355522,95-100% (highest scores),0.06464682,11.86110213,0.254754613,726.638249,61.32304808,0,671.5266724,1006.633174,37.1,1,0.225,0,0,51.1590974629316,6.24651563852592,87.77,6.92,19.34,49.8,39.2,70.5,12.1,41.7,92.2886465418443,9.57333227454176,20.32,75.13,4.55,87.26,3.29,1.82,0,7.16,0.46,1,27.384615384615383
6067000700,2567,Sacramento,95814,Sacramento,-121.5016595,38.5818714,59.7426938766833,95.5496722138174,95-100% (highest scores),0.04588368,9.145303817,0.803226477,265.2639198,34.93421053,0,181.649999,1145.513234,95.1,74.15,1.66,18,0,52.8515474052563,6.45316344031354,91.75,NA,21.12,29,40.1,83.7,NA,23.1,89.2477510181702,9.25789257148902,0,78.18,21.82,18.89,28.28,29.88,1.52,16.17,5.26,1,NA
6037120300,5238,Los Angeles,91402,Los Angeles,-118.4408399,34.2152914,59.6885385371501,95.5370650529501,95-100% (highest scores),0.06464682,11.67857435,0.158695991,726.638249,78.94172951,0,762.841339,1443.169452,53.5,1,1.605,4,0.75,60.9723713228258,7.44471442761484,93.94,6.88,20.82,22,16.2,27.6,5.6,22.9,77.2908433725823,8.01757261712365,10.16,76.94,12.91,63.82,14.81,1.09,0,19.66,0.61,1,35.28947368421053
6019006602,6083,Fresno,93654,Reedley,-119.4402301,36.5908573,59.6802727248363,95.5118507312153,95-100% (highest scores),0.06236471,13.76011002,0.089032983,522.1630228,69.50446386,1233.746431,531.8626862,297.8881037,10,38,0.56,2,0.1,59.0077298612864,7.20483209539632,72.88,4.91,19.84,43.9,26.1,62.3,8.7,24,79.8531548330269,8.28336759755584,18.61,68.8,12.59,89.3,7.89,0,0.05,1.79,0.97,1,29.67676767676768
6037123304,4362,Los Angeles,91605,Los Angeles,-118.4060882,34.1965389,59.6747536532202,95.499243570348,95-100% (highest scores),0.06236471,11.52481034,0.292124093,726.638249,66.75646545,0,962.088979,2529.147605,36.5,35.8,0.51,4,2,67.7686192404263,8.27453494841959,48.94,5.61,13.53,18.8,29.2,45.6,7.3,30.1,69.523589132412,7.21185589585525,9.31,68.52,22.17,45.37,44.66,1.26,0,6.63,2.09,1,34.77777777777778
6037191500,5931,Los Angeles,90029,Los Angeles,-118.296037,34.0872608,59.6009286486621,95.4866364094806,95-100% (highest scores),0.04863521,12.05932002,0.601622601,787.9403354,73.58048428,0,1518.485677,2100.439241,10.5,1.3,0.4,0,2,59.7495060370294,7.29540281911602,65.65,7.45,17.01,28.7,31.7,42.2,6.3,22.5,78.7569509083291,8.1696556210016,8.3,78.22,13.49,60.01,14.97,0.83,0.19,21.87,2.14,1,27
6037402702,6365,Los Angeles,91767,Pomona,-117.7259547,34.0640498,59.5920987997355,95.4740292486132,95-100% (highest scores),0.05846283,12.88889973,0.089808144,754.4422005,81.83550495,0,764.0979818,619.3817663,22.2,4.5,0.81,1,2.8,57.0455092831285,6.96524535255784,81.58,5.84,17.81,51.1,18,64.4,6,35.1,82.4778642058053,8.55563526959629,21.37,74.42,4.21,85.2,3.3,10.42,0,0.97,0.11,1,31.00826446280992
